,wifes_edu,husbands_edu,n_children,wifes_rel,wifes_working,husbands_occ,sol,media,contraceptive
44,2,2,1,1,1,3,2,0,2
1250,4,4,1,1,0,3,3,0,1
709,4,3,2,1,1,3,3,0,1
1253,4,4,1,1,0,2,3,0,1
1200,1,3,1,1,1,3,1,0,2
64,2,4,1,1,0,1,3,0,2
967,4,4,3,1,0,1,4,0,1
243,4,4,2,1,1,1,3,0,2
1426,3,4,3,1,1,3,1,0,1
891,4,4,2,0,0,3,3,0,1
1432,4,4,1,0,0,2,4,0,1
282,4,4,0,1,1,1,4,0,2
1339,4,4,2,1,1,3,3,0,1
970,4,4,1,1,1,1,4,0,1
1352,2,4,2,1,1,2,4,0,1
50,4,4,0,1,0,1,4,0,2
1437,4,4,1,1,1,1,4,0,1
651,3,3,1,1,1,3,3,0,1
1427,4,4,4,1,0,3,4,0,1
557,3,4,2,1,1,1,4,0,1
1003,4,4,0,1,0,3,4,0,2
728,4,4,1,1,1,3,3,0,1
174,3,2,2,1,1,3,2,0,2
1364,3,3,4,1,0,3,2,0,1
1450,4,4,4,1,1,3,3,0,1
364,3,2,0,1,1,2,2,0,2
137,3,3,2,1,1,2,2,0,2
229,3,4,0,1,1,3,2,0,2
452,3,3,1,1,1,3,1,0,1
994,4,4,1,1,1,1,4,0,1
954,3,3,2,1,1,2,3,0,1
951,3,4,3,1,1,3,4,0,1
482,4,4,1,1,1,3,2,0,1
826,3,4,2,1,1,1,3,0,1
946,2,2,1,1,1,3,3,0,1
434,3,4,1,1,1,3,2,0,1
1062,3,3,4,1,1,2,4,0,2
582,4,4,2,1,1,1,3,0,1
1064,3,4,2,1,1,1,3,0,2
1196,2,2,4,1,1,3,4,0,2
1452,3,2,4,1,1,3,4,0,1
414,2,3,3,1,1,3,4,0,2
1133,3,4,0,1,0,3,4,0,2
1416,4,3,2,1,1,3,2,0,1
1370,2,2,6,1,0,2,3,0,1
375,3,3,2,1,1,2,2,0,2
965,2,2,3,1,0,3,3,0,1
565,4,4,1,1,1,1,3,0,1
450,4,4,1,1,1,3,4,0,1
588,4,4,2,1,1,3,4,0,1
104,2,4,2,1,1,3,3,0,2
1323,3,3,1,0,1,3,2,0,1
1140,2,4,1,1,1,3,4,0,2
430,4,4,1,1,1,1,2,0,1
535,2,4,2,1,1,3,3,0,1
274,3,4,2,1,0,2,3,0,2
466,3,3,1,0,0,2,4,0,1
21,3,4,0,1,0,3,1,0,2
1061,1,3,1,1,1,3,4,0,2
511,3,3,2,1,0,3,4,0,1
1351,3,2,1,1,1,3,1,1,1
1331,2,2,4,1,1,3,3,0,1
656,3,4,2,1,1,1,3,0,1
1392,2,2,2,1,1,3,2,0,1
1135,2,3,1,1,0,4,4,0,2
1086,4,4,2,1,0,1,4,0,2
865,2,3,2,1,1,3,1,0,1
858,2,4,2,1,1,3,2,0,1
868,4,4,3,1,1,3,3,0,1
1301,3,1,2,1,0,3,4,0,1
746,2,3,7,1,1,3,3,0,1
1129,4,4,2,1,1,1,3,0,2
299,4,4,1,1,1,1,4,0,2
974,4,4,3,1,1,1,4,0,1
832,3,4,2,1,1,3,3,0,1
796,4,4,5,1,1,2,4,0,1
317,3,3,5,1,0,3,4,0,2
697,3,4,2,1,1,3,2,0,1
713,4,4,4,1,1,3,4,0,1
812,3,3,3,1,1,3,2,0,1
831,2,3,5,1,1,2,4,0,1
768,4,4,1,0,1,1,4,0,1
82,2,4,1,1,0,4,4,0,2
1246,4,4,1,1,1,1,4,0,1
571,4,4,1,1,1,2,1,0,1
432,3,4,3,1,1,2,3,0,1
141,4,4,0,0,0,3,3,0,2
439,2,4,1,1,0,3,4,0,1
733,2,4,1,1,1,2,3,0,1
642,3,3,4,1,1,3,4,0,1
900,3,3,1,1,1,2,2,0,1
1398,2,4,7,1,1,3,3,0,1
1184,3,4,2,1,1,3,4,0,2
736,3,3,3,1,1,2,3,0,1
754,2,3,2,1,1,2,1,0,1
860,3,4,3,1,1,3,2,0,1
1089,1,4,0,1,0,4,1,0,2
207,3,4,0,1,0,2,3,0,2
664,1,4,3,1,1,4,4,1,1
1161,4,4,4,1,1,1,4,0,2
324,4,4,1,0,1,1,3,0,2
681,4,3,1,1,1,2,2,0,1
1409,4,4,4,1,1,3,4,0,1
645,2,2,6,1,1,3,1,0,1
945,2,3,2,1,0,3,2,0,1
173,3,3,2,1,1,3,4,0,2
1288,3,4,2,0,1,2,3,0,1
730,4,4,2,1,0,2,2,0,1
265,4,4,0,1,1,1,3,0,2
1356,3,4,3,0,1,3,3,0,1
325,4,4,1,0,1,2,3,0,2
360,3,4,1,1,1,3,1,0,2
579,4,4,2,1,0,1,3,0,1
603,4,4,2,0,1,1,4,0,1
888,3,4,3,1,0,3,4,0,1
1327,2,3,7,1,1,3,3,0,1
704,3,2,2,1,1,2,1,0,1
271,3,4,1,1,1,3,4,0,2
1375,3,3,2,1,0,2,2,0,1
1241,3,1,1,1,0,3,3,0,1
109,2,3,3,1,1,3,1,0,2
963,3,4,1,0,1,2,4,0,1
1460,4,3,1,1,1,2,2,0,1
193,3,3,2,1,1,3,3,0,2
712,3,3,3,1,1,2,1,1,1
263,3,3,0,1,1,2,2,0,2
1146,2,3,1,1,0,3,4,1,2
1090,2,4,0,1,1,2,2,0,2
1366,4,4,2,1,1,1,2,0,1
501,4,4,2,1,0,1,3,0,1
678,3,4,3,1,1,1,4,0,1
67,2,3,3,1,1,3,1,0,2
1118,4,4,5,1,1,1,4,0,2
905,1,3,2,1,1,3,2,0,1
991,3,4,3,1,1,1,4,0,1
866,1,2,3,1,0,3,2,0,1
643,2,2,5,1,1,3,1,0,1
1155,4,4,0,0,0,2,4,0,2
1436,2,3,5,1,0,3,4,0,1
825,1,3,4,1,1,3,3,0,1
833,3,3,1,1,1,3,3,0,1
350,2,2,2,1,1,3,1,0,2
212,3,4,3,1,1,3,2,0,2
1080,3,4,3,1,1,1,1,0,2
1169,1,1,6,1,1,3,2,0,2
980,3,4,3,1,1,3,2,0,1
45,1,4,1,1,1,2,1,0,2
760,4,4,1,1,1,3,3,0,1
1403,4,4,3,1,1,3,2,0,1
270,4,4,2,1,1,1,4,0,2
114,3,4,0,1,1,1,3,0,2
112,4,4,1,1,1,1,4,0,2
177,2,4,4,1,0,1,4,0,2
349,3,3,1,1,1,3,1,0,2
735,2,2,2,1,1,3,4,0,1
1039,3,4,0,1,0,2,3,0,2
913,4,4,2,1,1,1,4,0,1
1091,3,4,2,1,1,3,3,0,2
1099,3,4,4,1,1,3,1,1,2
100,1,2,4,1,1,3,1,1,2
1126,4,4,2,1,1,1,2,0,2
401,3,4,5,1,1,1,4,0,2
1348,4,4,2,1,1,2,3,0,1
1024,4,4,1,0,0,2,4,0,2
135,3,3,3,1,0,2,4,0,2
1100,4,4,1,1,0,1,3,0,2
101,2,3,0,1,0,2,2,0,2
453,4,4,1,1,1,1,4,0,1
247,4,4,2,1,1,1,4,0,2
1440,4,4,1,0,0,2,4,0,1
836,4,4,3,1,1,3,4,1,1
1333,2,4,3,1,1,1,3,0,1
872,3,3,3,1,1,3,3,0,1
789,2,2,2,1,1,3,2,1,1
732,3,3,6,0,1,3,1,0,1
1355,4,4,1,1,1,1,4,0,1
1092,3,3,5,1,1,3,3,0,2
1261,4,4,1,0,1,1,4,0,1
1002,2,4,1,1,0,1,1,0,2
32,2,4,0,1,0,1,2,0,2
773,3,4,4,1,1,3,3,0,1
646,4,4,1,1,0,1,4,0,1
600,4,2,2,0,1,1,3,0,1
920,4,4,1,1,1,3,2,0,1
1255,3,4,3,1,1,1,4,0,1
1085,4,2,0,1,0,3,3,0,2
1014,4,4,2,1,1,3,2,0,2
672,3,3,2,1,1,3,3,0,1
1457,3,3,5,1,1,2,4,0,1
859,3,4,2,1,1,3,3,0,1
161,4,4,0,1,0,1,4,0,2
1191,4,4,0,0,1,2,4,0,2
1434,4,4,1,1,1,1,3,0,1
829,4,4,1,1,0,2,4,0,1
1368,2,3,3,1,1,2,4,0,1
882,3,4,1,1,1,3,3,0,1
870,4,4,3,1,1,3,2,0,1
413,2,2,2,1,1,3,1,0,2
1020,1,2,4,1,1,1,4,1,2
1052,4,4,0,1,0,2,4,0,2
1220,3,4,3,1,1,1,4,0,1
1237,4,4,3,1,1,1,4,0,1
538,3,4,4,1,1,1,3,0,1
698,4,4,2,1,1,1,4,0,1
1042,2,4,0,1,0,3,4,0,2
827,3,3,3,1,1,3,3,0,1
1111,4,4,1,1,0,1,3,0,2
264,2,4,5,1,1,3,2,0,2
1058,1,1,7,1,1,2,3,0,2
547,4,4,2,0,1,1,3,0,1
523,3,3,2,1,1,3,2,0,1
1047,3,4,1,0,1,2,2,0,2
869,3,4,5,1,1,2,4,0,1
308,3,3,0,1,1,2,2,0,2
1068,4,4,4,1,1,2,4,0,2
288,2,1,0,1,1,3,2,0,2
83,4,4,0,0,0,1,4,0,2
74,3,4,0,1,1,2,3,0,2
20,3,4,1,1,0,4,1,0,2
1098,1,3,1,1,1,4,2,0,2
1336,2,3,3,1,1,3,3,0,1
1243,4,4,1,1,0,2,2,0,1
1394,3,3,1,1,1,2,2,0,1
1004,2,2,2,1,1,3,3,0,2
1280,3,4,3,1,1,1,3,0,1
1401,3,4,3,1,1,3,3,0,1
39,2,2,1,1,1,2,4,0,2
1347,4,4,3,1,1,3,3,0,1
387,4,4,0,0,1,3,4,0,2
1365,4,4,1,1,1,2,3,0,1
1294,4,4,1,1,0,3,4,0,1
103,4,3,4,1,1,2,3,0,2
975,4,4,3,1,1,3,4,0,1
937,4,4,3,0,0,3,4,0,1
1443,2,2,0,0,1,4,4,0,1
125,3,4,2,1,1,1,2,1,2
489,3,4,3,1,1,3,4,0,1
762,2,2,5,1,0,2,4,0,1
908,4,4,2,1,0,3,3,0,1
550,4,4,1,1,0,1,4,0,1
496,4,4,3,1,1,1,4,0,1
810,3,3,1,1,1,2,1,0,1
477,4,4,1,1,1,1,4,0,1
1272,4,4,3,1,1,3,2,0,1
337,4,4,3,1,0,2,4,0,2
138,4,4,2,0,1,3,1,0,2
1084,2,4,0,1,1,3,1,0,2
393,3,3,0,1,1,3,4,0,2
1400,3,4,4,1,1,3,4,0,1
952,3,4,4,1,1,2,4,0,1
759,4,4,1,1,1,1,3,0,1
862,3,2,2,1,0,3,2,0,1
1338,4,4,5,1,0,1,4,0,1
663,4,4,1,1,1,1,4,0,1
1046,2,3,1,1,1,3,1,0,2
817,4,4,1,1,1,3,3,0,1
342,4,4,0,0,1,2,4,0,2
876,3,4,4,1,0,1,3,0,1
49,4,4,0,1,0,1,4,0,2
723,4,4,1,1,1,2,3,0,1
252,3,3,1,1,1,3,2,0,2
740,1,3,5,1,1,3,3,0,1
932,2,3,4,1,1,3,2,0,1
1413,3,3,3,1,1,3,3,0,1
409,3,3,1,1,1,2,4,0,2
1410,4,4,2,1,1,3,3,0,1
332,1,2,1,1,0,3,4,0,2
123,2,3,1,0,1,3,2,0,2
847,3,3,1,1,1,2,1,0,1
1349,1,2,3,1,1,3,2,0,1
814,3,4,1,1,1,2,1,0,1
1233,4,4,3,1,1,2,1,0,1
394,4,4,0,1,0,2,4,0,2
339,3,4,3,1,1,2,1,0,2
436,2,1,2,1,0,3,3,0,1
470,4,4,3,0,0,4,4,0,1
903,4,4,1,0,1,3,1,0,1
857,4,4,1,0,1,3,4,0,1
1380,1,2,4,1,1,3,3,0,1
312,1,4,2,1,0,3,3,1,2
73,2,3,1,1,1,1,2,0,2
284,2,4,2,1,0,4,4,1,2
700,4,4,1,1,1,3,1,0,1
1054,4,4,1,1,1,1,4,0,2
1186,4,4,3,0,0,1,4,0,2
237,4,4,1,1,1,3,3,0,2
302,3,3,1,1,1,3,4,0,2
1358,4,4,2,1,1,3,3,0,1
468,1,4,1,1,0,4,2,1,1
1156,3,4,3,0,0,2,4,0,2
844,3,4,1,1,1,3,4,0,1
1022,3,4,0,1,0,1,3,0,2
880,3,4,1,1,1,3,2,0,1
650,2,4,1,1,1,1,4,0,1
1023,4,4,1,1,0,3,3,0,2
1096,3,4,2,1,1,2,4,0,2
369,3,3,6,1,1,3,3,0,2
1362,1,2,1,1,1,3,3,0,1
590,4,4,1,1,1,2,4,0,1
131,4,4,0,0,0,1,3,0,2
438,2,3,2,1,1,3,3,0,1
1444,4,4,2,1,1,3,4,0,1
637,3,2,5,1,1,2,4,0,1
1180,3,4,0,1,0,3,4,0,2
1006,4,4,0,1,0,1,4,0,2
15,2,4,0,1,1,4,1,0,2
940,2,4,4,1,1,3,4,0,1
1275,2,3,5,1,1,3,1,1,1
58,2,3,0,1,1,3,4,0,2
639,2,4,3,1,1,1,4,1,1
1258,3,4,3,1,1,1,3,0,1
989,3,2,5,1,1,2,2,0,1
822,3,4,2,1,1,2,3,0,1
1151,3,4,2,1,1,3,3,0,2
1213,4,4,0,0,0,2,4,0,2
745,3,4,4,1,1,2,3,0,1
750,2,4,2,1,1,1,4,0,1
1393,3,3,2,1,1,2,2,1,1
298,4,4,3,0,1,1,4,0,2
1082,4,4,1,1,0,1,4,0,2
809,3,3,1,1,1,2,2,0,1
786,1,3,2,1,1,3,1,0,1
917,3,4,2,0,1,3,4,0,1
1412,3,4,3,1,1,3,4,0,1
1449,4,4,1,1,1,2,3,0,1
816,3,3,1,1,1,3,2,0,1
1274,3,3,2,1,1,3,3,0,1
338,4,4,0,1,0,2,4,0,2
235,2,3,1,1,0,3,4,0,2
837,2,3,2,1,1,2,3,0,1
428,2,4,3,1,1,3,4,0,1
404,3,4,4,1,0,1,3,0,2
151,1,3,4,1,1,3,2,0,2
522,3,1,4,1,1,3,1,0,1
215,3,4,2,1,0,2,2,0,2
372,2,3,1,1,1,3,2,0,2
944,2,2,1,1,1,3,1,0,1
714,3,3,7,1,1,3,4,0,1
272,3,4,1,1,1,2,1,0,2
554,4,4,4,1,1,1,3,0,1
923,2,2,1,1,1,3,2,0,1
1192,2,1,0,1,1,2,2,0,2
655,4,4,2,1,1,3,4,0,1
680,2,4,4,1,1,2,1,0,1
451,2,4,2,1,1,1,3,0,1
1277,3,4,3,1,1,1,4,0,1
1136,3,4,1,0,1,2,2,0,2
605,4,4,1,0,1,2,4,0,1
886,3,3,2,0,1,2,3,0,1
808,2,4,4,1,0,2,4,0,1
1293,3,4,2,0,1,3,3,0,1
621,3,3,2,1,1,2,3,0,1
995,2,1,3,1,0,3,1,1,1
654,2,4,3,1,0,3,3,0,1
583,4,4,1,1,1,1,4,0,1
1372,4,4,2,1,1,3,3,0,1
727,2,3,1,1,0,3,2,0,1
751,4,4,2,1,1,1,4,0,1
1113,2,3,2,1,1,3,2,0,2
86,4,4,1,1,1,1,3,0,2
194,3,4,0,1,0,3,1,0,2
1235,3,4,3,1,1,2,3,0,1
1357,2,3,3,1,1,3,3,0,1
770,4,4,3,1,1,3,4,0,1
1441,3,3,1,0,0,2,4,0,1
1467,4,4,3,1,1,1,4,0,1
1229,3,3,2,1,1,3,4,0,1
431,3,4,1,1,1,3,4,0,1
190,1,2,4,1,1,4,1,0,2
1114,3,4,0,1,0,3,3,0,2
281,2,4,2,1,1,3,1,0,2
113,2,2,4,1,1,3,3,0,2
1232,4,4,2,0,1,1,4,0,1
731,1,2,2,1,1,2,1,0,1
1150,3,3,2,1,0,3,3,0,2
743,2,4,1,1,1,3,3,0,1
559,4,3,4,1,0,3,2,0,1
220,2,3,1,1,1,3,3,0,2
335,2,2,8,1,1,2,2,1,2
885,3,2,1,1,1,3,3,0,1
1016,3,4,0,1,1,3,3,0,2
506,4,4,1,1,1,1,2,0,1
484,3,3,2,1,0,3,3,0,1
819,1,3,4,1,1,3,4,0,1
884,3,4,1,0,0,1,4,0,1
290,4,4,1,1,1,2,2,0,2
795,4,4,2,1,1,1,4,0,1
206,2,4,0,1,1,3,1,0,2
8,2,3,3,1,1,3,4,0,2
1429,4,3,4,1,1,3,3,0,1
771,4,4,2,1,1,1,3,0,1
5,4,4,0,1,1,3,3,0,2
40,1,1,3,1,1,3,1,0,2
1402,3,4,2,1,1,3,3,0,1
830,4,4,1,1,1,2,4,0,1
198,1,1,5,1,1,2,2,0,2
497,4,4,1,0,1,2,4,0,1
540,3,3,1,1,0,3,4,0,1
694,2,4,3,1,1,3,4,0,1
1102,3,4,2,1,1,3,2,0,2
1322,4,4,2,1,0,3,3,0,1
765,3,4,4,1,1,3,3,0,1
801,2,2,1,1,1,4,3,0,1
221,3,4,0,1,1,3,3,0,2
912,2,3,5,1,1,3,3,0,1
1057,3,4,2,1,1,1,3,0,2
76,4,4,0,1,0,2,4,0,2
1388,4,4,2,0,1,1,4,0,1
98,2,2,3,1,1,3,1,0,2
203,2,3,2,1,1,3,3,0,2
1179,3,2,0,1,1,2,2,0,2
27,4,4,0,1,0,1,4,0,2
480,4,4,1,1,1,2,3,0,1
871,2,4,4,1,1,3,4,0,1
1059,4,4,1,1,1,3,4,0,2
787,2,2,2,1,1,2,3,0,1
389,2,3,1,1,1,3,4,0,2
425,4,4,2,0,0,1,4,0,1
1295,2,2,4,1,1,4,3,1,1
72,2,3,1,1,1,1,1,0,2
1207,4,4,3,1,1,1,4,0,2
987,4,4,3,1,1,4,4,0,1
102,2,4,3,1,0,3,2,0,2
846,1,2,3,1,1,3,1,1,1
904,1,2,3,1,1,2,3,0,1
219,3,3,2,1,0,2,3,0,2
153,4,4,2,1,1,2,4,0,2
1461,4,4,4,1,1,1,2,1,1
176,4,4,0,0,1,1,3,0,2
1044,4,4,3,1,0,2,3,0,2
820,1,1,3,1,1,4,2,1,1
1154,3,2,1,1,0,3,3,0,2
134,4,4,1,1,1,1,3,0,2
670,3,3,2,1,1,2,4,0,1
1284,4,4,2,1,1,2,4,0,1
30,3,4,2,1,1,1,4,0,2
1287,4,4,1,0,1,2,3,0,1
122,3,4,2,1,1,3,3,0,2
88,2,4,4,1,1,1,4,0,2
427,1,1,2,1,1,3,4,0,1
536,4,4,2,1,0,1,3,0,1
69,4,4,1,1,0,3,3,0,2
1199,3,4,2,1,1,1,4,0,2
853,3,4,1,1,0,1,4,0,1
1104,4,4,0,1,1,2,1,1,2
525,3,4,1,1,1,4,4,0,1
106,4,4,0,1,1,1,1,0,2
383,2,3,1,1,0,2,1,0,2
1337,3,4,1,1,0,3,4,0,1
555,2,2,1,1,1,3,2,0,1
878,4,4,2,1,1,3,4,0,1
685,3,3,1,1,1,3,3,0,1
169,3,4,0,1,0,2,4,0,2
1011,2,2,1,1,1,3,2,0,2
1195,4,4,5,1,0,3,4,0,2
89,2,2,3,1,0,2,1,0,2
515,4,1,4,1,1,3,3,0,1
1038,3,3,1,1,0,2,4,0,2
68,3,4,2,1,1,3,4,0,2
240,3,4,1,1,1,2,3,0,2
907,3,3,2,1,1,2,3,0,1
48,4,4,1,1,1,1,4,0,2
